category,term
variable,ECVAMTU
variable,EGBEATNO
variable,EGBLFL
variable,EGCAT
variable,EGCLSIG
variable,EGDRVFL
variable,EGDTC
variable,EGDY
variable,EGELTM
variable,EGENDTC
variable,EGENDY
variable,EGEVAL
variable,EGEVALID
variable,EGGRPID
variable,EGLEAD
variable,EGLOBXFL
variable,EGMETHOD
variable,EGNAM
variable,EGORRES
variable,EGORRESU
variable,EGPOS
variable,EGREASND
variable,EGREFID
variable,EGREPNUM
variable,EGRFTDTC
variable,EGSCAT
variable,EGSEQ
variable,EGSPID
variable,EGSTAT
variable,EGSTRESC
variable,EGSTRESN
variable,EGSTRESU
variable,EGTEST
variable,EGTESTCD
variable,EGTPT
variable,EGTPTNUM
variable,EGTPTREF
variable,EGXFN
variable,ELEMENT
variable,EPOCH
variable,ERBLFL
variable,ERCAT
variable,ERDIR
variable,ERDRVFL
variable,ERDTC
variable,ERDY
variable,ERELTM
variable,EREVAL
variable,EREVALID
variable,ERGRPID
variable,ERLAT
variable,ERLNKGRP
variable,ERLNKID
variable,ERLOC
variable,ERMETHOD
variable,ERORRES
variable,ERORRESU
variable,ERPOS
variable,ERREASND
variable,ERREFID
variable,ERRFTDTC
variable,ERSCAT
variable,ERSEQ
variable,ERSPID
variable,ERSTAT
variable,ERSTRESC
variable,ERSTRESN
variable,ERSTRESU
variable,ERTEST
variable,ERTESTCD
variable,ERTPT
variable,ERTPTNUM
variable,ERTPTREF
variable,ERTSTDTL
variable,ETCD
variable,ETHNIC
variable,EVAL1
variable,EVAL2
variable,EVAL3
variable,EVLDTL
variable,EXADJ
variable,EXAMINIT
variable,EXCAT
variable,EXDIR
variable,EXDOSE
variable,EXDOSFRM
variable,EXDOSFRQ
variable,EXDOSRGM
variable,EXDOSTXT
variable,EXDOSU
variable,EXDUR
variable,EXELTM
variable,EXENDTC
variable,EXENDY
variable,EXFAST
variable,EXGRPID
variable,EXLAT
variable,EXLNKGRP
variable,EXLNKID
variable,EXLOC
variable,EXLOT
variable,EXREFID
variable,EXRFTDTC
variable,EXROUTE
variable,EXSCAT
variable,EXSEQ
variable,EXSPID
variable,EXSTDTC
variable,EXSTDY
variable,EXTPT
variable,EXTPTNUM
variable,EXTPTREF
variable,EXTRT
variable,FABLFL
variable,FACAT
variable,FADTC
variable,FADY
variable,FAENDTC
variable,FAENDY
variable,FAENINT
variable,FAENRTPT
variable,FAENTPT
variable,FAEVAL
variable,FAEVINTX
variable,FAEVLINT
variable,FAGRPID
variable,FALAT
variable,FALNKGRP
variable,FALNKID
variable,FALOBXFL
variable,FALOC
variable,FALOCDTL
variable,FAMETHOD
variable,FAOBJ
variable,FAORRES
variable,FAORRESU
variable,FAREASND
variable,FASCAT
variable,FASEQ
variable,FASPID
variable,FASSCAT
variable,FASTAT
variable,FASTINT
variable,FASTRESC
variable,FASTRESN
variable,FASTRESU
variable,FASTRTPT
variable,FASTTPT
variable,FATEST
variable,FATESTCD
variable,FATPT
variable,FATPTNUM
variable,FATSTDTL
variable,FETUSID
variable,FOCID
variable,FTBLFL
variable,FTCAT
variable,FTDIR
variable,FTDRVFL
variable,FTDTC
variable,FTDY
variable,FTELTM
variable,FTEVINTX
variable,FTEVLINT
variable,FTGRPID
variable,FTLAT
variable,FTLOBXFL
variable,FTLOC
variable,FTMETHOD
variable,FTNAM
variable,FTORRES
variable,FTORRESU
variable,FTPOS
variable,FTREASND
variable,FTREFID
variable,FTREPNUM
variable,FTRFTDTC
variable,FTSCAT
variable,FTSEQ
variable,FTSPID
