Classification,Name,Pages,PageCount,Category,RawTexts
Variable,DIAGGRP,"10,14",2,standard_variable,DIAGGRP in SUPPDM | DIAGGRP in SUPPXM
Variable,DISEASE,"18,19,20",3,standard_variable,FACAT=DISEASE CHARACTERISTICS CROHN'S DISEASE | FAOBJ=CROHN'S DISEASE
Variable,DSCAT,"14,17,62,63",4,standard_variable,DSCAT=PROTOCOL MILESTONE | DSCAT=DISPOSITION EVENT
Variable,DSCAT=DISPOSITION EVENT,"17,62,63",3,standard_variable,DSCAT=DISPOSITION EVENT
Variable,DSCAT=PROTOCOL MILESTONE,14,1,standard_variable,DSCAT=PROTOCOL MILESTONE
Variable,DSDECOD,"14,17,62,63",4,standard_variable,DSSTDTC when DSTERM/DSDECOD=INFORMED CONSENT OBTAINED | DSDECOD=SCREEN FAILURE | If No DSTERM/DSDECOD=COMPLETED | DSDECOD | DSTERM when DSDECOD=VOLUNTARY WITHDRAWAL or OTHER
Variable,DSDECOD=COMPLETED,"62,63",2,standard_variable,DSDECOD=COMPLETED
Variable,DSDECOD=INFORMED CONSENT OBTAINED,14,1,standard_variable,DSDECOD=INFORMED CONSENT OBTAINED
Variable,DSDECOD=SCREEN FAILURE,17,1,standard_variable,DSDECOD=SCREEN FAILURE
Variable,DSSCAT,"62,63",2,standard_variable,DSSCAT=END OF TREATMENT/END OF EXTENSION TREATMENT | DSSCAT=END OF STUDY
Variable,DSSCAT=END OF STUDY,63,1,standard_variable,DSSCAT=END OF STUDY
Variable,DSSCAT=END OF TREATMENT/END OF EXTENSION TREATMENT,62,1,standard_variable,DSSCAT=END OF TREATMENT/END OF EXTENSION TREATMENT
Variable,DSSTDTC,"14,17",2,standard_variable,DSSTDTC when DSTERM/DSDECOD=INFORMED CONSENT OBTAINED | DSSTDTC
Variable,DSTERM,"14,17,62,63",4,standard_variable,DSSTDTC when DSTERM/DSDECOD=INFORMED CONSENT OBTAINED | DSTERM | DSTERM when VOLUNTARY WITHDRAWAL or OTHER or INC/EXC CRITERIA | If No DSTERM/DSDECOD=COMPLETED | DSTERM when DSDECOD=VOLUNTARY WITHDRAWAL or OTHER | DSTERM when DSTERM=VOLUNTARY WITHDRAWAL or OTHER
Variable,DSTERM=COMPLETED,"62,63",2,standard_variable,DSTERM=COMPLETED
